root,level,subject,board,year,page_type,the_rest
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,revision-notes,metals/extraction-of-metals/extraction-of-metals
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,revision-notes,organic-chemistry/formulae-functional-groups-and-terminology/organic-formulae
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,revision-notes,organic-chemistry/organic-families/alcohols
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,revision-notes,experimental-techniques-and-chemical-analysis/identification-of-ions-and-gases/identification-of-anions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,states-of-matter/solids-liquids-and-gases/multiple-choice-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,chemical-energetics/exothermic-and-endothermic-reactions/multiple-choice-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,metals/reactivity-series-and-corrosion-of-metals/multiple-choice-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,experimental-techniques-and-chemical-analysis/separation-and-purification/multiple-choice-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,stoichiometry/the-mole-and-the-avogadro-constant/theory-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,the-periodic-table/group-properties-and-trends/theory-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,organic-chemistry/polymers/theory-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,acids-bases-and-salts/the-characteristic-properties-of-acids-and-bases/alternative-to-practical-questions
www.savemyexams.com,igcse,chemistry_co-ordinated-sciences-double-award,cie,23,topic-questions,experimental-techniques-and-chemical-analysis/experimental-techniques/alternative-to-practical-questions
www.savemyexams.com,as,physics,cie,25,revision-notes,1-physical-quantities-and-units/1-4-scalars-and-vectors/scalars-and-vectors
www.savemyexams.com,as,physics,cie,25,revision-notes,2-kinematics/2-1-equations-of-motion/acceleration-of-free-fall-experiment
www.savemyexams.com,as,physics,cie,25,revision-notes,3-dynamics/3-2-non-uniform-motion/terminal-velocity
www.savemyexams.com,as,physics,cie,25,revision-notes,4-forces-density-and-pressure/4-3-density-and-pressure/density
www.savemyexams.com,as,physics,cie,25,revision-notes,5-work-energy-and-power/5-1-energy-conservation/power
www.savemyexams.com,as,physics,cie,25,revision-notes,6-deformation-of-solids/6-2-elastic-and-plastic-behaviour/elastic-potential-energy
www.savemyexams.com,as,physics,cie,25,revision-notes,7-waves/7-5-polarisation/polarisation
www.savemyexams.com,as,physics,cie,25,revision-notes,8-superposition/8-4-the-diffraction-grating/the-diffraction-grating
www.savemyexams.com,as,physics,cie,25,revision-notes,9-electricity/9-3-resistance-and-resistivity/resistivity
www.savemyexams.com,as,physics,cie,25,revision-notes,10-d-c-circuits/10-2-kirchhoffs-laws/resistors-in-parallel
